Question ,Question Id,Category,Country
[Pre-Interview Worksheet] Please refer to Slide 5 in the backgrounder which provides estimates on the 2L and 3L+ HER2+ aGC total eligible population size. Do these estimates align with your understanding of the population size in your market?  ,1,aGC: Landscape,none
[Pre-Interview Worksheet] What are your perceptions of the total eligible population size? ,1.a,aGC: Landscape,none
"[Pre-Interview Worksheet] [Payer] When you consider a new product coming to market, do you consider the total eligible population? Or only the size of the population that is projected to actually receive the new product, based on projected market share? ",1.b,aGC: Landscape,none
"Moderator note: Hypotheses from market-specific input: [FR][DE] total eligible patients per year, [IT] required to submit total eligible and the number estimated to be on the product ",1.b.i,aGC: Landscape,none
"[Pre-Interview Worksheet] Relative to other solid tumors, how would you rate the clinical burden for 2L+ HER2+ aGC, on a scale of 1 to 5, where 1=no burden, 3=moderate burden, and 5=very high burden? Note: clinical burden is defined as (overall morbidity, mortality, and quality of life implications ",2,aGC: Landscape,none
[Pre-Interview Worksheet] How does the clinical burden differ across 2L and 3L+ HER2+ aGC? Please use the same scale from 1 to 5 ,2.a,aGC: Landscape,none
Probe rationale for ratings.  ,2.b,aGC: Landscape,none
What are the major drivers of clinical burden for patients? ,2.c,aGC: Landscape,none
How do these drivers differ for 2L vs 3L+ patients? ,2.c.i,aGC: Landscape,none
Do your perceptions of clinical burden differ for HER2+ patients compared to wild type aGC patients? ,2.d,aGC: Landscape,none
"[Pre-Interview Worksheet] Relative to other solid tumors, how would you rate the overall economic burden to the health system (defined as the direct and indirect costs of the disease) associated with 2L+ HER2+ aGC on a scale of 1 to 5, where 1=no burden, 3=moderate cost burden, and 5=very high-cost burden? ",3,aGC: Landscape,none
[Pre-Interview Worksheet] How does the economic burden differ across 2L and 3L+ HER2+ aGC? Please use the same scale from 1 to 5 ,3.a,aGC: Landscape,none
Probe rationale,3.b,aGC: Landscape,none
What are the major drivers of economic burden for patients?  ,3.c,aGC: Landscape,none
"Moderator note: examples of drivers of economic burden include cost of treatment (cost of chemotherapy, cost of branded agents), cost of hospitalization, caregiver burden, size of the patient population ",3.c.i,aGC: Landscape,none
How do these drivers differ for 2L vs 3L+ patients? ,3.c.ii,aGC: Landscape,none
Do your perceptions of economic burden differ for HER2+ patients compared to wild type aGC patients? ,3.d,aGC: Landscape,none
"[Pre-Interview Worksheet] Please refer to Slide 6 on the backgrounder which includes the ESMO 2022 treatment guidelines for aGC. How satisfied are you with the available treatment options for 2L+ HER2+ aGC? Where 1=not satisfied at all, 3=moderately satisfied, and 5=very satisfied?",4,aGC: Landscape,none
"Probe rationale (i.e., number of treatment options, efficacy of these, etc.) ",4.a,aGC: Landscape,none
"[KOL] Please describe your current approach to treating and managing HER2+ aGC patients who have progressed after their first line of therapy, and if this aligns with the treatment algorithm shown. ",4.b,aGC: Landscape,none
[FR] How do you interpret the French guidelines from October 2022 for 3L+ ? ,4.b.i,aGC: Landscape,none
[KOL] What are the weaknesses of current treatment options?  ,4.c,aGC: Landscape,none
"[KOL] How does your level of satisfaction differ for 2L vs 3L options, if at all? ",4.d,aGC: Landscape,none
"[Pre-Interview Worksheet] What is your perception of the level of unmet need for a new treatment in 2L and 3L+ HER2+ aGC on a scale of 1 to 5, where 1=no unmet need, 3=moderate unmet need, and 5=very high unmet need? ",5,aGC: Landscape,none
[Pre-Interview Worksheet] How does the unmet need differ across 2L and 3L+ HER2+ aGC? Please use the same scale from 1 to 5 ,5.a,aGC: Landscape,none
Probe rationale. ,5.b,aGC: Landscape,none
What are the key unmet needs in 2L+ HER2+ aGC?  ,5.c,aGC: Landscape,none
"How do you consider the priority of different unmet needs (e.g., tolerability vs OS)? ",5.d,aGC: Landscape,none
Do your perceptions Do your perceptions of unmet need differ for HER2+ patients compared to wild type aGC patients? of unmet need differ for HER2+ patients compared to wild type aGC patients? ,5.e,aGC: Landscape,none
"[KOL] On Slide 8 we have outlined some agents that are current in development for aGC. Are there any of particular attention? If so, why?",6,aGC: Landscape,none
[KOL] What do you expect to be the future standard of care for 2L HER2+ aGC patients?  ,7,aGC: Landscape,none
[KOL] What do you expect to be the future standard of care for 3L+ HER2+ aGC patients?  ,8,aGC: Landscape,none
"With new agents launching in 2L+ aGC, how do you expect the evidence requirements to change in the next 3-5 years? ",9,aGC: Landscape,none
What is your overall impression of the hypothetical Product X profile? What do you see as the key strengths and weaknesses of this product? ,10,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What are your perceptions of the fact that both Trial A and B are phase 2? ,10.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
Let’s now focus on Trial A:,11,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What are your perceptions of the 3L+ HER2+ target population?  ,11.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
Hypothetical Product X is being compared to investigator’s choice of irinotecan or paclitaxel. What are your thoughts on this investigator’s choice comparator? ,11.b,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
Trial A is conducted in an Asian population. What are your perceptions of this? To what extent do you believe that the data would be transferable to patients in your market?  ,11.c,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"Moderator note: in case respondent challenges the choice of conducting a trial in an Asian population, and the transferability of data to Caucasian patients, please mention some of the reasons supporting the transferability of data to Caucasian patients: 

Despite differences in geography, baseline characteristics were generally similar across trials 

All patients in Trial A and Trial B received the same prior therapy 

Prognostic parameters and outcomes with respect to ORR, DOR, PFS and OS of the patients in Trial A are similar to those of the Trial B, supporting the consistent clinical benefit offered; Thus, extrapolation between regions in terms of treatment effects seem acceptable. 

There is precedence with other products, such as Vizimpro in 1L EGFRm mNSCLC, which was also studied in an Asian population. HTA reports in these specific cases do not reference issues associated with transferability issues. ",11.c.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"What are your perceptions of the endpoints selection, ORR as the primary endpoint, with OS and PFS as secondary endpoints? ",11.d,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
How do you perceive the magnitude of effect for each of the endpoints (incl. HR)? ,11.e,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"If the magnitude of effect is perceived as insufficient, what are your expectations on the incremental benefit on key endpoints vs. the appropriate comparator?  ",11.e.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
Let’s now focus on Trial B: ,12,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What are your perceptions of the 2L HER2+ target population?  ,12.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What are your perceptions of the single-arm trial design?  ,12.b,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"If the single-arm design is not perceived as acceptable, probe what would be considered the appropriate clinical comparator? ",12.b.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"Moderator note: in case respondent challenges the choice of a single-arm trial, please highlight that: 

 Trial B was designed as a single arm trial to address the urgent unmet need in HER2+ aGC and offer a targeted therapy to patients faster (obtaining comparative data could lead to a delay in product availability by ~3 years) 

Indirect treatment comparisons have been conducted and would be available at the time of product review, which all show that Product X has longer mOS and mPFS than most 2L options 

The benefit of Product X exhibited in the ITC will be confirmed by a Ph 3 head-to-head trial ",12.b.ii,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
How do you perceive the magnitude of effect for each of the endpoints? ,12.c,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"If the magnitude of effect is perceived as insufficient, what is the minimum value you consider to be valuable?   ",12.c.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What are your thoughts on the safety data? ,13,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
[KOLs] What are the key side effects that influence your prescribing decision?  ,13.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
[KOLs] What are the key side effects that limit patients’ ability to receive or continue SoC therapies? ,13.b,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"Moderator note: If KOLs pose an objection regarding the interstitial lung disease (ILD), respond with the following: ILD/pneumonitis can be manageable with careful observation  
and prompt intervention. Among the total ILD events, the median time to first onset was 102.5 days ad no Grade 5 events of ILD/pneumonitis were reported. The signs and symptoms of ILD can be actively monitored and managed with dose modification or discontinuation, glucocorticoid therapy and supportive care. ",13.c,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
How do you consider the overall evidence package for Product X in 2L+ HER2+ aGC including Trial A and Trial B?  ,14,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What are the implications if the EMA designates Trial B as the pivotal trial and Trial A as a supportive trial? ,14.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
Moderator Note: question noted as important by DE team,14.a.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
To what extent would you still consider Trial A in that context? ,14.a.ii,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
Is there a different weighting for the trials? ,14.a.iii,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"[FR] Trial A was assessed as the pivotal trial for the EAP, will designation by EMA affect the HTA process? ",14.a.iv,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What additional evidence could be provided to address any value gaps or evidence requests?,15,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"Please refer to Exhibit 2. What is the therapeutic improvement over standard of care that Product X offers on a scale of 1 to 5, where 1 is no therapeutic value, 3 is a moderate therapeutic improvement, and 5 is a breakthrough innovation?  Moderator note: collect 3 ratings ",16,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
in 2L+ HER2+ aGC?,16.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
in 2L+ HER2+ aGC?,16.a.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
in 2L HER2+ aGC? ,16.b,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
in 2L HER2+ aGC?,16.b.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
in 3L+ HER2+ aGC?,16.c,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
in 3L+ HER2+ aGC?,16.c.i,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
Please provide rationale. ,16.d,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What would you need to see to improve your rating? What additional endpoints or evidence would you find valuable? ,16.e,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
[KOL] Please assume that Product X would be recommended on ESMO guidelines as a 2L+ options for HER2+ aGC. Do you expect inclusion of Product X in your national guidelines? Which ones?  ,17,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What would impact guideline recommendation / inclusion?   ,17.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"Probe for impact of inclusion into ESMO guidelines onto national guidelines, and rationale [DE] Probe expected inclusion in Onkopedia ",17.b,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
[DE] Probe expected inclusion in guidelines prior to EMA approval ,17.c,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"[KOL] Assuming reimbursement for 2L+ HER2+ aGC, how would you expect to use the hypothetical Product X relative to other treatments for HER2+ patients? ",18,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"Out of 100 patients with HER2+ aGC getting into 2L / 3L, to how many would you give Product X? Why? ",18.a,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
"[DE] How would this differ if Product X only receive an added benefit in 2L patients, but not 3L+ patients?  ",18.b,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
How would you expect to use the hypothetical Product X if it was only reimbursed for 3L+ patients? ,18.c,aGC: Trial A & Trial B: Value & Trial Design Assessment,none
What SMR rating will the Transparency Committee (TC) provide for Product X? ,19,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"Will the TC provide separate SMR ratings based on Trial A and Trial B? If yes, for which subpopulations? Why? ",19.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"What is driving this SMR rating? Probe: efficacy: AE ratio, lack of comparative data in Trial B, etc. ",19.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
What specific evidence can support the SMR level? ,19.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"Probe efficacy on profile, efficacy to safety ratio, high unmet need in HER2+ 2L+ aGC ",19.c.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
What ASMR to you expect the TC will provide?  ,20,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"If the TC conducts separate SMR assessments for 2L and 3L+, what would the resulting ASMR be for each? ",20.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
What will the ASMR rating be given against?,20.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
What is driving the ASMR rating? ,20.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"For 3L+ patients (Trial A) probe: 

Comparator 

Phase 2 design 

Asian population 

Clinical evidence: OS and ORR ",20.c.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
"For 2L patients (Trial B) probe: 

Single-arm design 

      If the single-arm design is not appropriate, what would be considered the appropriate clinical comparator for a 2L HER2+ aGC trial?  

Phase 2 design 

Clinical evidence: OS and ORR ",20.c.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,France
