user_id,question_id,answer,study_id
1,1,Yes,DAI475
1,1.a,We need to do a calc to figure out HER2+ 2L patients. But  in FR we have about 6500 patients diagnosed with GC each year and 50-60% have aGC and we know among this pop of patients we have 15 -70% with gastric adenocarcinoma. Among these patients approx. 50% can receive a 2nd line treatment and only 20-30% can receive 3rd line treatment. Based on this info you can make a calc of the number of 2L and 3L HER2 positive patients. Iâ€™m a little surprised about Italy. The population of IT I don't know if bigger than FR because we have 60 mil individuals in FR and I dont know about Italy so Iâ€™m a bit surprised. [67 million in FR and 60mil in Italy population].,DAI475
1,2.a,"3,4,4",DAI475
1,2.c,"[clarifying clinical burden] I think its logical the patient as an advanced disease the more the problem worsens and the quality of life gets bad â€“ so the more advanced, the higher the clinical burden. [anything symptom-wise you would pull out as relevant here?] in the first line treatment the objective is disease control and improving the survival. The more the disease progresses, the priority becomes QoL and symptoms and not really the survival. QoL is very important for patients in 3rd line treatment and survival more important in 1L treatment.",DAI475
1,3.a,"3,4,5",DAI475
1,3.c,In FR we donâ€™t look at price of the drugs. We look at the drugs we have and treat with those,DAI475
1,4,4,DAI475
1,4.b,"I am the coordinator of the FR guidelines for management of patients with GC. When you look at the FR guidelines, they are almost the same as ESMO. The therapeutic strategy is identical. We look at HER2 status. For HER2+ GC we treat people with doublet chemotherapy and combined with pyrimidine and platinum salts in addition to trastuzumab. For patients with HER2 negative GC we use chemotherapy and nivolumab if the tumor is CPS higher than 5 - This is for 1L. We have the results of the spotlight trial which has been communicated at ASCO GI meeting last week showing that patients with overexpression of claudin 18.2, they may benefit from zolbetixumab with FOLFOX6, that awas the pop with HER2 negative tumors. This means over the next months we will decide on best marker between claudin and CPS and best drug for these patients. This is for 1L treatment. In 2nd line treatment we have ramucirumab alone or in combo with paclitaxel. Even if approved by EU, not reimbursed in FR so difficult to use so we use chemo mostly. We also have pembro in 2nd line for pts with MSI-high GC that have nt been treated with nivo in 1L . We got approval from EMA but MoH say pembro (keytruda) wonâ€™t be reimbursed in FR for MSI-H patients. [seems like from 2nd line on taxane and irino reimbursed in FR?] yes but not ramu or pembro wont be reimbursed.",DAI475
1,4.b.i,"3L we have trifluri also, which is the only drug which proved efficacy in ph3 RCT. We can use chemo, taxane or irino if the drug not been used previously but no strong efficacy for these drugs because no RCT testing chemo in 3L or later. We have the trial in 2L but not 3L. But it is a therapeutic option. In Asian countries have nivo for patients with CPS higher than 1 with PDL1+ cancer but not in EU or US. No difference in FR guidelines compared to ESMO. In US we have approval of Enhertu in 2L her+ advanced gastric cancer. We have early access to Enhertu in FR for patients with HER2+ aGC in 3L treatment since July 2023. We also have the approval from EMA in Dec 2022 for Enhertu in 2nd line treatment based on Destiny Gastric 01 and 02 trials.",DAI475
1,4.c,"For pembro (keytruda), the recommendation not strong enough as based on cohort studies, not randomized trial. If you look at clinical survival evidence, shows pembro is probably the most important drug we have seen for decades in G.I cancer. Difficult to make RCT phase 3 trial. The agencies need RCTs but we know MSI-H patients is a small subgroup of patients so complicated to make ph3 RCT. Texane and irinotecan in 3L reccommendation not strong enough, it's only option. Nivo is approved in US for all patients no matter the CPS but EU only for CPS higher than 5. Also in US pembro approved for HER2 for 1L in combo with trastuzumab and chemo.",DAI475
1,5.a,"4,4,4",DAI475
1,5.c,"Personalised medicine I think will come for gastric. Look at markers and make a molecular profile of tumours. Need to look at HER2, CPS, MSI, unmet need also is for HER2+ population, we do not have as in BC many drugs proved effective. Only trastuzumab and maybe Enhertu being tested in phase 3 trial but we have only data from phase 2 trial and we have seen a lot of negative trials testing different anti-HER2 agents that have failed to demonstrate survival benefit. There is a real unmet need in HER2+ GC.",DAI475
1,9,"There are a lot of drugs currently tested in her2pos GC. We have tucatinib, very promising drug. Enhertu currently tested in ph3 trial. We have many other drugs. We also have maditruximab which is an antiher2 monoclonal antibody. Activates ADCC strongly, currently tested in 1L treatment in combo with immunotherapy. We also have zenidatamab, a B-specific mAB - currently testing in combination with immunotherapy. We have a lot of anti her2 that are currently tested in combination with immunotherapy. We have many ADCs and B-specific antibodies. Very challenging and exciting to see how many trials are conducted in this patient pop.",DAI475
1,10.a,"When I see this design. Itâ€™s the same design as destiny gastric 01 and 02. Whats strange is ORR, trial A is 50% and B is 40% even though the patients in trial A are more pre-treated. The more of the disease is advanced and harder to get ORR, not logical to try to reach ORR of 40% in 2L and 50% in 3L and later. I don't know if you understand [I understand, you expect ORR to be lower in 3L]. Same for OS for these two pops. I guess patients in 2L will have a better mOS than patients in 3L. [in terms of values themselves, how do you perceive these?] very relevant to have this objective. We know patients in 2L treatment with chemo it's between 3-5 months of mOS except for pacli and ramu which is higher with 7-9 months mOS so 12 months is very ambitious but very relevant for this population of patients. For ORR, also very unperceived to have 40-50%, we usually have this in 1L patients. To have this in patients heavily treated is highly impressive",DAI475
